Time,State
0,1.1,
0.1,1.23,
0.2,1.38575,
0.3,1.56803,
0.4,1.78008,
0.5,2.02505,
0.6,2.30629,
0.7,2.62762,
0.8,2.99326,
0.9,3.40788,
1,3.87661,
1.1,4.40516,
1.2,4.9998,
1.3,5.66751,
1.4,6.41595,
1.5,7.25362,
1.6,8.1899,
1.7,9.23516,
1.8,10.4009,
1.9,11.6997,
